RK,Player,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
-,Giannis AntetokounmpoMIL,PF,67,34.2,30.4,11.8,19.7,60.1,0.2,0.9,22.2,6.5,10.6,61.7,11.9,6.5,0.9,1.2,3.1,55,11
-,Jayson TatumBOS,SF,72,36.4,26.8,9.2,20.3,45.2,3.5,10.1,34.3,5.0,6.1,81.4,8.7,6.0,1.1,0.5,2.9,31,2
-,Tyrese MaxeyPHI,PG,52,37.7,26.3,9.2,21.0,43.7,3.1,9.2,33.7,4.9,5.6,87.9,3.3,6.1,1.8,0.4,2.4,8,1
-,Cade CunninghamDET,PG,70,35.0,26.1,9.8,20.8,46.9,2.1,6.0,35.6,4.5,5.3,84.6,6.1,9.1,1.0,0.8,4.4,31,9
-,Paolo BancheroORL,PF,46,34.4,25.9,9.0,19.8,45.2,1.9,5.9,32.0,6.1,8.4,72.7,7.5,4.8,0.8,0.6,3.0,11,0
-,LaMelo BallCHA,PG,47,32.0,25.2,8.6,21.3,40.5,3.8,11.2,33.9,4.1,4.9,84.3,4.9,7.4,1.1,0.3,3.6,13,0
-,Damian LillardMIL,PG,58,36.1,24.9,7.7,17.1,44.8,3.4,9.0,37.6,6.2,6.8,92.1,4.7,7.1,1.2,0.2,2.8,14,2
-,Trae YoungATL,PG,76,36.0,24.2,7.4,18.1,41.1,2.9,8.4,34.0,6.5,7.4,87.5,3.1,11.6,1.2,0.2,4.7,51,0
-,Franz WagnerORL,SF,60,33.7,24.2,9.0,19.4,46.3,1.7,5.9,29.5,4.5,5.2,87.1,5.7,4.7,1.3,0.4,2.3,3,0
-,Zach LaVineSAC/CHI,SG,42,34.1,24.0,8.6,16.9,51.1,3.2,7.3,44.6,3.5,4.3,79.7,4.8,4.5,0.9,0.2,2.9,3,0
-,Cam ThomasBKN,SG,25,31.2,24.0,8.0,18.2,43.8,2.7,7.8,34.9,5.3,6.0,88.1,3.3,3.8,0.6,0.1,2.5,1,0
-,Donovan MitchellCLE,SG,71,31.4,24.0,8.2,18.6,44.3,3.3,8.9,36.8,4.2,5.1,82.3,4.5,5.0,1.3,0.2,2.1,6,0
-,Tyler HerroMIA,PG,77,35.4,23.9,8.5,17.9,47.2,3.3,8.7,37.5,3.7,4.2,87.8,5.2,5.5,0.9,0.2,2.6,9,0
-,Joel EmbiidPHI,C,19,30.2,23.8,7.4,16.6,44.4,1.2,4.1,29.9,7.8,8.9,88.2,8.2,4.5,0.7,0.9,3.3,7,1
-,Jaylen BrownBOS,SG,63,34.3,22.2,8.2,17.7,46.3,1.8,5.7,32.4,3.9,5.1,76.4,5.8,4.5,1.2,0.3,2.6,5,0
-,Quentin GrimesDAL/PHI,SG,28,33.7,21.9,7.7,16.4,46.9,2.9,7.9,37.3,3.6,4.8,75.2,5.2,4.5,1.5,0.4,2.9,4,0
-,RJ BarrettTOR,SG,58,32.2,21.1,7.9,16.9,46.8,1.8,5.3,35.0,3.4,5.4,63.0,6.3,5.4,0.8,0.3,2.8,10,2
-,Brandon MillerCHA,F,27,34.2,21.0,7.3,18.2,40.3,3.9,10.9,35.5,2.5,2.9,86.1,4.9,3.6,1.1,0.7,2.8,2,0
-,Darius GarlandCLE,PG,75,30.7,20.6,7.4,15.7,47.2,2.8,7.1,40.1,3.0,3.4,87.8,2.9,6.7,1.2,0.1,2.5,7,0
-,Jordan PooleWSH,SG,68,29.4,20.5,6.7,15.5,43.2,3.5,9.1,37.8,3.6,4.0,88.3,3.0,4.5,1.3,0.4,3.0,1,0
-,Coby WhiteCHI,PG,74,33.1,20.4,6.9,15.1,45.3,2.9,7.9,37.0,3.7,4.1,90.2,3.7,4.5,0.9,0.2,2.4,2,0
-,Miles BridgesCHA,SF,64,31.7,20.3,7.3,17.0,43.1,2.2,7.0,31.3,3.5,4.0,87.0,7.5,3.9,0.7,0.7,2.1,14,1
-,Pascal SiakamIND,PF,78,32.7,20.2,7.9,15.2,51.9,1.6,4.2,38.9,2.9,3.9,73.4,6.9,3.4,0.9,0.5,1.4,11,0
-,Kristaps PorzingisBOS,C,42,28.8,19.5,6.6,13.7,48.3,2.5,6.0,41.2,3.8,4.7,80.9,6.8,2.1,0.7,1.5,1.3,6,0
-,Scottie BarnesTOR,SF,65,32.8,19.3,7.3,16.4,44.6,1.2,4.3,27.1,3.5,4.6,75.5,7.7,5.8,1.4,1.0,2.8,26,1
-,Jalen JohnsonATL,SF,36,35.7,18.9,7.5,15.1,50.0,1.2,3.9,31.2,2.6,3.5,74.6,10.0,5.0,1.6,1.0,2.9,20,1
-,Cameron JohnsonBKN,SF,57,31.6,18.8,6.2,13.1,47.5,2.8,7.2,39.0,3.5,3.9,89.3,4.3,3.4,0.9,0.4,1.7,2,0
-,Tyrese HaliburtonIND,PG,73,33.6,18.6,6.5,13.8,47.3,3.0,7.7,38.8,2.6,3.0,85.1,3.5,9.2,1.4,0.7,1.6,31,0
-,Evan MobleyCLE,PF,71,30.5,18.5,7.1,12.8,55.7,1.2,3.2,37.0,3.1,4.3,72.5,9.3,3.2,0.9,1.6,2.0,37,0
-,Nikola VucevicCHI,C,73,31.2,18.5,7.5,14.2,53.0,1.8,4.4,40.2,1.6,2.0,80.5,10.1,3.5,0.8,0.7,1.6,45,1
-,Bam AdebayoMIA,C,78,34.3,18.1,6.9,14.3,48.5,1.0,2.8,35.7,3.2,4.2,76.5,9.6,4.3,1.3,0.7,2.1,38,1
-,Jaden IveyDET,PG,30,29.9,17.6,6.3,13.8,46.0,2.1,5.1,40.9,2.8,3.9,73.3,4.1,4.0,0.9,0.4,3.0,0,0
